"Plot Title: baddeck"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10536701, SEN S/N: 10536701)","Temp, °C (LGR S/N: 10536701, SEN S/N: 10536701)","Sensor Depth, meters (LGR S/N: 10536701)"
195,11/05/14 10:11:37  AM,117.617,10.063,1.537
196,11/05/14 10:26:37  AM,117.466,9.965,1.524
197,11/05/14 10:41:37  AM,117.582,9.965,1.536
198,11/05/14 10:56:37  AM,117.502,10.063,1.529
199,11/05/14 11:11:37  AM,117.170,10.161,1.502
200,11/05/14 11:26:37  AM,117.107,10.161,1.499
201,11/05/14 11:41:37  AM,117.071,10.063,1.498
202,11/05/14 11:56:37  AM,116.987,10.063,1.492
203,11/05/14 12:11:37  PM,116.981,10.161,1.494
204,11/05/14 12:26:37  PM,116.844,10.161,1.485
205,11/05/14 12:41:37  PM,116.775,10.259,1.482
206,11/05/14 12:56:37  PM,116.691,10.259,1.477
207,11/05/14 01:11:37  PM,116.649,10.259,1.475
208,11/05/14 01:26:37  PM,116.376,10.259,1.450
209,11/05/14 01:41:37  PM,116.361,10.161,1.451
210,11/05/14 01:56:37  PM,116.372,10.161,1.457
211,11/05/14 02:11:37  PM,116.435,10.161,1.469
212,11/05/14 02:26:37  PM,116.397,10.259,1.472
213,11/05/14 02:41:37  PM,116.233,10.357,1.456
214,11/05/14 02:56:37  PM,115.838,10.455,1.416
215,11/05/14 03:11:37  PM,116.059,10.455,1.438
216,11/05/14 03:26:37  PM,115.823,10.357,1.420
217,11/05/14 03:41:37  PM,115.949,10.357,1.439
218,11/05/14 03:56:37  PM,115.865,10.357,1.432
219,11/05/14 04:11:37  PM,115.844,10.357,1.427
220,11/05/14 04:26:37  PM,116.054,10.357,1.442
221,11/05/14 04:41:37  PM,116.101,10.455,1.447
222,11/05/14 04:56:37  PM,115.674,10.553,1.404
223,11/05/14 05:11:37  PM,115.968,10.553,1.435
224,11/05/14 05:26:37  PM,116.021,10.553,1.442
225,11/05/14 05:41:37  PM,116.052,10.553,1.449
226,11/05/14 05:56:37  PM,116.084,10.553,1.456
227,11/05/14 06:11:37  PM,116.431,10.553,1.493
