* ID=Minilog-T
* Serial Number=4157
* Study ID=Jay MacDonald
* Start Time=2012-03-12 15:01:26
* Finish Time=2012-08-23 13:01:26
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2012-03-23,13:01:26,20.48
2012-03-23,14:01:26,20.48
2012-03-23,15:01:26,20.32
2012-03-23,16:01:26,20.32
2012-03-23,17:01:26,20.32
2012-03-23,18:01:26,20.32
2012-03-23,19:01:26,20.32
2012-03-23,20:01:26,20.32
2012-03-23,21:01:26,20.17
2012-03-23,22:01:26,20.17
2012-03-23,23:01:26,20.01
2012-03-24,00:01:26,19.85
2012-03-24,01:01:26,19.69
2012-03-24,02:01:26,19.54
2012-03-24,03:01:26,19.38
2012-03-24,04:01:26,19.38
2012-03-24,05:01:26,19.23
2012-03-24,06:01:26,19.07
2012-03-24,07:01:26,18.91
2012-03-24,08:01:26,18.91
2012-03-24,09:01:26,18.76
2012-03-24,10:01:26,18.91
2012-03-24,11:01:26,19.23
2012-03-24,12:01:26,19.23
2012-03-24,13:01:26,19.38
2012-03-24,14:01:26,19.38
2012-03-24,15:01:26,19.38
2012-03-24,16:01:26,19.38
2012-03-24,17:01:26,19.38
2012-03-24,18:01:26,19.54
2012-03-24,19:01:26,19.54
2012-03-24,20:01:26,19.38
2012-03-24,21:01:26,19.38
2012-03-24,22:01:26,19.23
2012-03-24,23:01:26,19.23
2012-03-25,00:01:26,19.23
2012-03-25,01:01:26,19.07
2012-03-25,02:01:26,19.07
2012-03-25,03:01:26,18.91
2012-03-25,04:01:26,18.76
2012-03-25,05:01:26,18.76
2012-03-25,06:01:26,18.60
2012-03-25,07:01:26,18.60
2012-03-25,08:01:26,18.45
2012-03-25,09:01:26,18.45
2012-03-25,10:01:26,18.60
2012-03-25,11:01:26,18.76
2012-03-25,12:01:26,18.91
2012-03-25,13:01:26,19.07
2012-03-25,14:01:26,19.07
2012-03-25,15:01:26,19.07
2012-03-25,16:01:26,19.23
2012-03-25,17:01:26,19.23
2012-03-25,18:01:26,19.23
2012-03-25,19:01:26,19.23
2012-03-25,20:01:26,19.07
2012-03-25,21:01:26,19.07
2012-03-25,22:01:26,18.91
2012-03-25,23:01:26,18.91
2012-03-26,00:01:26,18.76
2012-03-26,01:01:26,18.76
2012-03-26,02:01:26,18.76
2012-03-26,03:01:26,18.60
2012-03-26,04:01:26,18.60
2012-03-26,05:01:26,18.60
2012-03-26,06:01:26,18.45
2012-03-26,07:01:26,18.45
2012-03-26,08:01:26,18.45
2012-03-26,09:01:26,18.45
2012-03-26,10:01:26,18.60
2012-03-26,11:01:26,18.76
2012-03-26,12:01:26,18.91
2012-03-26,13:01:26,19.07
2012-03-26,14:01:26,19.23
2012-03-26,15:01:26,19.38
2012-03-26,16:01:26,19.38
2012-03-26,17:01:26,19.38
2012-03-26,18:01:26,19.54
2012-03-26,19:01:26,19.54
2012-03-26,20:01:26,19.38
2012-03-26,21:01:26,19.23
2012-03-26,22:01:26,19.23
2012-03-26,23:01:26,19.07
2012-03-27,00:01:26,18.91
2012-03-27,01:01:26,18.76
2012-03-27,02:01:26,18.76
2012-03-27,03:01:26,18.60
2012-03-27,04:01:26,18.45
2012-03-27,05:01:26,18.29
2012-03-27,06:01:26,18.29
2012-03-27,07:01:26,18.14
2012-03-27,08:01:26,18.14
2012-03-27,09:01:26,18.14
2012-03-27,10:01:26,18.14
